id,pedido_id,produto_id,quantidade,preco_unit
185,65,27,2,160.64
186,66,98,1,218.15
187,66,100,1,48.09
188,67,14,4,30.83
189,67,66,1,398.6
190,67,33,1,239.85
191,67,86,1,42.46
192,68,78,1,393.36
193,69,45,2,100.54
194,69,96,1,54.48
195,70,65,3,182.58
196,70,9,2,257.41
197,70,98,1,411.6
198,71,37,2,360.75
199,72,13,1,487.05
200,72,91,2,461.03
201,73,24,3,352.09
202,73,14,4,340.03
203,73,49,2,419.02
204,73,30,4,114.99
205,74,41,1,383.09
206,74,67,1,238.29
207,74,47,2,252.95
208,74,6,3,282.99
209,75,50,3,251.92
210,76,40,4,304.19
211,76,53,4,120.68
212,76,55,3,492.63
213,77,61,1,448.43
214,77,87,3,97.86
215,78,67,1,204.22
216,78,51,1,68.42
217,78,14,4,350.57
218,78,26,2,41.71
219,79,52,2,301.53
220,79,55,1,124.11
221,79,92,4,146.47
222,80,83,3,380.59
223,80,86,4,184.49
224,80,66,4,493.89
225,80,59,3,82.21
226,80,63,1,69.87
227,81,18,2,317.9
228,81,7,1,58.81
229,81,4,1,254.09
230,81,87,2,197.49
231,82,80,2,158.35
232,82,85,1,382.48
233,82,26,4,398.44
234,83,34,4,250.22
235,83,70,3,406.65
236,83,5,1,476.76
237,84,41,1,197.98
238,84,5,4,226.85
239,84,85,1,96.67
240,84,22,3,443.5
241,85,92,4,75.9
242,85,15,4,248.85
243,85,88,4,333.44
244,85,21,4,243.2
245,86,64,1,201.78
246,86,46,4,312.3
247,86,4,3,167.04
248,86,47,1,72.82
249,86,75,3,406.68
250,87,55,3,196.48
251,88,8,3,211.85
252,88,83,2,131.33
253,88,89,3,300.34
254,89,22,3,66.09
255,90,85,3,28.32
256,91,90,4,140.64
257,91,41,4,298.11
258,91,42,4,289.47
259,91,13,1,406.08
260,92,98,3,253.4
261,92,39,3,91.65
262,93,82,4,108.86
263,93,69,1,421.79
264,93,7,2,150.8
265,94,80,4,404.26
266,94,75,1,361.68
267,94,35,1,300.01
268,95,45,4,219.28
269,96,39,3,257.27
270,97,52,3,108.04
271,97,59,3,316.23
272,97,81,2,441.64
273,97,28,2,292.65
274,98,69,3,469.21
275,98,94,4,467.97
276,98,47,1,265.91
277,98,20,4,82.39
278,99,9,4,211.03
279,99,35,2,424.52
280,99,33,3,326.56
281,100,15,2,208.87
282,100,32,2,104.04
283,100,72,3,237.44
284,100,5,4,216.79
285,100,18,2,88.09
286,101,36,3,396.94
287,102,6,2,325.7
288,102,8,4,393.29
289,102,39,1,163.81
290,102,53,1,451.28
291,102,12,3,339.12
292,103,74,2,125.66
293,103,75,1,265.76
294,103,12,3,253.26
295,103,99,2,303.91
296,104,95,3,417.84
297,104,96,4,404.86
298,104,28,2,468.4
299,105,36,1,95.83
300,105,76,4,210.1
301,106,90,4,271.4
302,107,61,3,277.42
303,108,19,3,440.92
304,108,48,3,242.86
305,109,78,1,326.24
306,109,85,1,422.32
307,109,86,1,348.43
308,110,40,3,280.84
309,110,88,3,452.55
310,111,50,2,430.25
311,112,33,4,464.48
312,113,97,1,468.8
313,113,21,2,155.74
314,113,99,4,319.36
315,114,11,1,144.28
316,114,53,4,240.83
317,114,13,3,361.52
318,114,65,2,352.26
319,115,94,3,216.23
320,116,4,3,232.1
321,116,24,1,324.27
322,116,18,4,397.6
323,116,81,1,206.32
324,116,11,3,163.72
325,117,92,2,132.31
326,118,41,4,398.39
327,118,95,4,244.4
328,119,76,3,95.0
329,119,26,3,401.77
330,120,51,4,190.12
331,121,3,2,20.16
332,121,60,2,454.35
333,121,22,2,138.27
334,121,55,1,206.51
335,122,48,3,83.13
336,122,16,2,474.15
337,122,56,1,362.11
338,122,64,4,415.36
339,122,27,1,120.0
340,123,64,3,151.1
341,123,27,4,73.8
342,124,37,2,497.65
343,124,53,2,214.98
344,124,34,2,24.1
345,124,32,2,312.66
346,124,83,3,295.62
347,125,18,1,15.06
348,125,51,3,487.46
349,125,91,2,359.53
350,125,33,4,370.69
351,126,7,1,282.93
352,127,46,2,240.76
353,127,65,1,12.63
354,127,51,4,158.23
355,128,72,2,484.35
356,128,34,1,294.44
357,128,44,2,256.84
358,129,91,2,53.93
359,129,15,4,79.48
360,129,17,3,31.64
361,129,36,4,437.12
362,130,34,4,148.63
363,130,56,3,263.32
364,130,63,2,164.62
365,131,20,4,36.08
366,131,5,1,122.63
367,132,60,3,90.14
368,132,64,4,66.85
369,132,91,1,226.34
370,132,15,4,234.3
371,133,27,1,181.31
372,133,22,3,98.52
373,134,85,3,285.99
374,134,1,2,295.94
375,134,10,2,214.05
376,134,87,2,386.44
377,134,4,1,444.81
378,135,76,1,203.14
379,135,20,1,420.12
380,135,91,1,49.72
381,136,35,4,317.89
382,136,6,1,171.42
383,136,94,4,169.21
384,136,7,2,113.57
385,137,96,3,401.09
386,137,78,1,278.11
387,137,33,4,55.35
388,138,52,2,482.87
389,138,27,1,20.05
390,139,37,4,391.95
391,139,63,2,69.09
392,140,78,3,452.83
393,140,13,2,185.93
394,140,63,3,261.2
395,140,61,4,443.85
396,141,55,4,54.21
397,141,56,3,310.8
398,141,66,4,55.54
399,142,83,4,341.46
400,142,68,2,466.03
401,142,56,1,152.44
402,143,17,4,157.19
403,144,38,2,266.32
404,144,6,1,279.99
405,144,53,1,260.22
406,145,73,4,333.82
407,146,11,3,134.88
408,146,85,1,65.83
409,146,24,4,97.98
410,147,91,1,50.81
411,147,93,3,163.83
412,147,58,4,381.1
413,147,24,3,177.25
414,148,78,2,48.33
415,148,14,3,437.09
416,149,15,1,12.87
417,149,62,1,94.15
418,149,85,4,348.99
419,149,79,4,158.37
420,150,12,4,404.27
421,150,25,2,76.21
422,150,90,1,409.82
423,151,84,1,112.52
424,151,56,2,328.37
425,152,99,2,52.19
426,152,55,4,82.6
427,152,20,1,67.06
428,152,61,4,482.29
429,152,75,1,431.3
430,153,51,2,154.47
431,153,14,1,173.59
432,154,95,4,425.82
433,154,52,3,28.14
434,154,93,4,261.54
435,154,8,4,123.63
436,155,41,1,216.78
437,155,83,1,141.25
438,155,15,4,445.68
439,155,83,4,315.12
440,155,56,3,229.68
441,156,25,2,151.13
442,157,65,3,224.67
443,157,88,2,297.95
444,157,92,3,461.65
445,157,38,4,74.27
446,158,87,4,418.21
447,158,21,3,400.03
448,158,96,2,148.4
449,158,17,1,336.86
450,159,63,2,86.59
451,159,64,1,398.81
452,160,7,2,112.62
453,160,34,1,185.81
454,160,23,3,341.69
455,161,44,1,405.34
456,161,30,4,65.84
457,161,63,1,285.37
458,161,46,3,496.89
459,161,72,1,387.35
460,162,66,2,428.17
461,162,57,1,356.14
462,162,97,4,481.7
463,163,79,1,393.01
464,164,22,1,258.58
465,165,21,2,456.38
466,166,64,4,383.36
467,166,47,1,85.6
468,166,16,3,411.39
469,167,99,4,485.12
470,167,61,1,130.2
471,168,11,3,257.46
472,168,97,3,192.49
473,168,86,4,186.72
474,169,68,2,379.07
475,169,18,4,395.74
476,170,59,4,459.83
477,170,57,3,472.43
478,170,92,2,387.37
479,170,41,1,51.54
480,171,51,2,222.7
481,171,83,1,333.49
482,171,8,2,452.23
483,171,88,3,215.46
484,172,41,3,363.56
485,172,36,3,13.87
486,172,58,2,353.14
487,172,80,2,444.91
488,172,84,4,351.76
489,173,11,2,441.68
490,173,50,1,273.34
491,173,70,2,265.03
492,173,66,3,114.73
493,174,97,3,265.45
494,174,70,2,21.48
495,174,100,3,128.26
496,174,65,3,365.99
497,174,48,1,368.67
498,175,97,3,70.67
499,175,74,1,229.88
500,175,31,1,232.04
501,176,37,2,181.67
502,176,67,2,360.03
503,176,67,2,61.56
504,176,47,2,413.19
505,176,92,4,58.01
506,177,8,4,50.15
507,177,61,4,445.37
508,177,48,2,228.62
509,177,67,4,298.24
510,178,82,3,296.31
511,178,89,4,498.29
512,178,54,4,368.54
513,178,17,2,80.73
514,179,91,4,73.4
515,179,59,1,350.29
516,179,21,4,25.98
517,179,16,3,461.63
518,180,48,4,64.06
519,180,20,3,29.74
520,180,48,1,192.02
521,180,4,3,154.05
522,180,76,2,79.65
523,181,40,1,469.04
524,181,95,3,115.63
525,181,71,4,11.02
526,181,6,3,43.11
527,182,73,4,290.8
528,182,49,4,451.14
529,182,78,4,418.89
530,182,65,2,383.36
531,183,20,4,336.94
532,183,80,3,53.76
533,183,51,4,199.75
534,183,86,3,275.09
535,184,22,3,326.5
536,184,99,1,290.28
537,184,16,3,284.91
538,184,80,1,104.29
539,185,67,1,479.07
540,185,65,2,377.77
541,185,69,1,68.94
542,185,36,2,481.56
543,185,91,2,130.19
544,186,69,4,51.48
545,186,6,3,206.88
546,186,3,4,432.37
547,186,54,3,224.14
548,186,41,1,431.23
549,187,13,3,54.6
550,187,24,2,149.82
551,187,20,3,386.47
552,187,87,3,476.56
553,188,42,1,311.09
554,188,8,2,23.31
555,189,19,4,58.38
556,189,34,4,447.58
557,189,16,4,471.37
558,190,77,2,127.42
559,191,97,2,251.56
560,191,35,4,475.18
561,191,71,1,165.98
562,191,4,4,42.07
563,191,3,4,320.44
564,192,72,1,130.69
565,192,53,2,159.26
566,192,82,4,51.12
567,193,19,2,393.61
568,193,22,3,274.82
569,193,55,2,273.39
570,193,60,4,30.48
571,193,22,3,330.0
572,194,62,1,467.42
573,195,49,3,421.35
574,195,28,3,422.79
575,195,95,3,32.29
576,196,51,1,157.31
577,196,93,1,416.94
578,196,27,3,440.36
579,196,44,3,443.13
580,196,91,3,490.02
581,197,42,3,130.5
582,197,77,3,113.21
583,197,89,3,17.78
584,197,1,2,326.76
585,198,2,4,12.1
586,198,90,2,212.45
587,198,69,4,383.61
588,198,84,1,395.78
589,198,86,1,273.94
590,199,49,1,182.97
591,199,99,3,199.51
592,199,48,1,71.13
593,199,29,2,227.84
594,200,91,3,343.47
595,201,79,2,54.08
596,201,29,3,406.12
597,201,47,2,490.26
598,202,91,3,251.49
599,203,82,2,13.5
600,203,36,4,64.36
601,203,25,4,93.53
602,203,17,2,42.03
603,203,73,1,72.44
604,204,87,3,104.01
605,204,89,1,496.06
606,205,59,3,343.53
607,205,83,1,469.57
608,205,42,1,428.39
609,205,53,4,423.73
610,205,67,3,69.64
611,206,98,4,187.12
612,206,29,1,443.06
613,206,54,1,146.19
614,206,51,4,164.96
615,207,74,3,50.09
616,207,29,1,495.23
617,208,26,1,459.33
618,208,9,2,171.32
619,208,56,1,23.66
620,208,81,1,300.34
621,209,61,3,131.11
622,209,7,2,479.81
623,209,31,3,264.64
624,210,81,4,384.41
625,211,8,1,51.91
626,211,89,1,194.92
627,211,8,1,393.5
628,211,79,4,36.85
629,212,8,1,59.9
630,212,49,1,154.51
631,212,97,4,56.96
632,212,77,4,124.22
633,213,60,1,232.17
634,213,80,4,441.17
635,213,87,1,176.41
636,213,43,1,232.5
637,213,2,2,62.92
638,214,25,1,300.51
639,214,33,2,322.31
640,214,93,3,216.29
641,214,18,4,101.1
642,214,40,1,39.64
643,215,84,4,261.43
644,215,70,3,162.48
645,215,40,2,82.23
646,215,2,3,152.62
647,215,65,2,38.09
648,216,26,1,216.81
649,216,26,2,323.87
650,216,86,1,177.36
651,216,60,4,350.44
652,216,73,3,427.48
653,217,21,3,215.16
654,217,6,1,232.61
655,217,1,4,117.51
656,218,28,2,238.6
657,218,99,2,245.57
658,219,24,4,110.61
659,219,10,1,187.78
660,219,15,3,24.71
661,220,81,3,225.8
662,220,4,3,31.51
663,221,29,2,149.21
664,221,44,3,362.23
665,222,3,2,97.49
666,222,13,2,423.01
667,222,18,1,417.41
668,222,15,4,330.89
669,222,40,3,468.7
670,223,48,2,191.12
671,223,80,2,471.17
672,223,9,4,440.41
673,223,17,1,80.77
674,224,89,2,270.95
675,224,55,3,165.8
676,225,76,1,383.91
677,225,38,2,428.67
678,226,81,3,131.11
679,226,66,3,437.7
680,227,11,4,112.53
681,227,79,4,397.59
682,227,50,1,92.04
683,227,60,3,254.31
684,227,48,2,167.69
685,228,64,4,360.67
686,228,52,4,141.48
687,228,26,1,111.53
688,228,51,4,432.95
689,228,49,2,159.94
690,229,48,2,468.39
691,229,18,3,279.77
692,229,67,1,154.57
693,229,6,3,122.79
694,229,44,4,261.01
695,230,53,4,239.1
696,230,41,3,404.21
697,230,23,3,197.36
698,230,83,4,124.56
699,231,38,3,451.72
700,232,30,1,395.08
701,232,47,1,68.11
702,232,43,1,277.55
703,232,33,2,340.8
704,232,99,3,375.15
705,233,18,2,355.76
706,233,39,3,14.18
707,233,52,3,412.93
708,234,66,1,241.28
709,234,30,2,434.08
710,234,27,2,364.43
711,234,76,4,124.52
712,235,60,4,364.03
713,235,41,3,398.04
714,235,90,2,220.11
715,235,58,4,112.7
716,235,74,1,193.6
717,236,2,3,472.24
718,236,46,4,407.1
719,237,88,2,215.38
720,237,89,4,383.79
721,237,3,3,169.78
722,238,20,1,461.85
723,238,78,3,288.41
724,238,27,4,490.28
725,238,50,4,41.22
726,238,43,2,242.64
727,239,39,4,323.11
728,239,87,1,94.0
729,239,89,2,25.71
730,239,26,4,23.15
731,239,50,1,456.56
732,240,85,2,124.19
733,240,48,1,232.79
734,240,53,1,94.19
735,241,17,2,494.9
736,241,9,4,244.34
737,241,27,4,478.0
738,241,40,2,436.52
739,242,74,4,87.8
740,242,65,3,297.87
741,242,1,4,144.97
742,242,52,2,228.41
743,243,73,2,267.67
744,243,74,4,235.5
745,243,37,1,371.27
746,243,92,4,179.92
747,243,23,3,201.63
748,244,80,2,97.99
749,244,85,4,234.34
750,244,13,2,352.28
751,244,6,4,352.34
752,245,81,2,144.15
753,245,9,3,336.66
754,246,98,4,211.53
755,246,10,1,497.71
756,247,22,3,210.95
757,248,60,2,257.97
758,248,89,1,45.87
759,248,96,4,196.77
760,249,2,2,204.37
761,249,18,3,66.19
762,249,60,3,338.44
763,249,11,4,236.06
764,250,57,2,359.65
765,250,36,2,240.69
766,250,3,2,93.59
767,250,16,1,96.85
768,250,86,4,92.54
769,251,46,3,85.21
770,252,87,2,360.06
771,252,7,2,226.61
772,253,40,1,201.4
773,253,1,4,35.68
774,253,99,1,388.48
775,253,48,2,465.12
776,253,3,2,107.99
777,254,44,1,494.75
778,254,9,2,343.18
779,254,13,2,479.79
780,254,6,2,364.77
781,255,42,1,409.66
782,255,70,2,316.09
783,255,16,4,470.07
784,255,46,2,114.75
785,256,84,2,17.35
786,256,28,3,15.87
787,256,85,4,117.85
788,257,28,3,31.53
789,257,77,4,157.75
790,257,14,4,491.72
791,258,13,2,133.45
792,258,90,3,490.89
793,258,99,4,342.17
794,258,82,2,172.7
795,258,86,3,489.23
796,259,78,1,174.2
797,259,82,4,197.36
798,259,91,2,256.68
799,259,79,1,123.98
800,260,55,3,125.83
801,261,48,1,39.36
802,261,20,4,155.34
803,262,31,2,324.6
804,262,43,4,372.24
805,262,83,2,146.28
806,262,54,1,265.23
807,263,94,1,122.21
808,263,27,3,177.94
809,263,86,1,454.25
810,264,49,2,307.95
811,264,81,3,99.94
812,265,9,1,436.23
813,266,19,1,320.84
814,266,23,2,71.52
815,267,11,2,125.79
816,267,40,4,365.24
817,267,32,2,363.62
818,267,32,4,96.45
819,267,58,3,149.82
820,268,62,3,432.59
821,268,47,1,476.0
822,269,57,4,92.21
823,269,95,4,257.59
824,269,62,4,382.56
825,269,55,1,383.35
826,270,20,3,301.64
827,271,60,2,136.07
828,271,49,3,232.27
829,271,18,4,45.25
830,271,25,4,105.9
831,271,65,1,16.29
832,272,54,4,208.23
833,272,48,4,485.54
834,272,83,4,249.88
835,273,5,1,210.31
836,273,73,1,198.56
837,273,56,2,105.17
838,273,97,3,387.92
839,273,63,3,259.71
840,274,55,1,328.94
841,274,5,2,128.75
842,274,87,3,319.17
843,275,59,2,138.05
844,276,75,3,131.23
845,276,99,2,16.05
846,277,76,4,204.86
847,278,22,2,439.24
848,279,65,3,349.0
849,279,94,4,297.18
850,279,94,4,378.71
851,279,74,1,63.54
852,280,27,2,141.82
853,280,1,4,352.51
854,280,1,2,410.03
855,281,54,1,389.13
856,282,94,4,330.72
857,282,48,4,93.61
858,282,26,2,354.98
859,282,15,4,99.17
860,282,28,4,287.88
861,283,24,2,38.9
862,283,53,2,137.08
863,284,22,1,435.5
864,284,49,1,153.63
865,284,44,1,145.61
866,284,62,1,296.97
867,285,35,1,14.66
868,285,6,1,336.01
869,285,1,1,113.42
870,285,98,4,305.46
871,286,44,4,241.88
872,286,88,4,174.91
873,286,31,3,499.73
874,287,8,4,195.43
875,287,13,3,437.81
876,287,90,1,233.89
877,288,16,2,22.58
878,288,97,3,476.02
879,288,80,2,190.53
880,288,85,4,262.31
881,289,42,1,493.23
882,289,6,1,320.55
883,290,63,4,124.44
884,290,11,4,372.21
885,290,61,3,219.68
886,291,25,4,153.99
887,292,12,1,72.65
888,292,71,3,417.85
889,293,15,2,449.24
890,293,31,4,334.69
891,293,97,2,113.7
892,293,92,1,61.68
893,294,42,2,465.21
894,295,33,3,117.98
895,295,86,4,476.24
896,295,69,1,336.08
897,295,89,4,54.32
898,296,99,2,466.57
899,296,49,1,325.55
900,296,72,4,330.42
901,297,15,2,119.54
902,297,12,3,52.96
903,297,25,3,372.88
904,297,17,1,290.69
905,298,1,4,292.69
906,298,69,3,40.32
907,298,55,2,425.09
908,299,17,3,400.78
909,299,2,2,62.23
910,299,38,4,164.8
911,300,19,4,343.19
912,300,86,3,81.48
913,301,89,3,161.36
914,302,91,3,498.46
915,303,28,4,319.23
916,303,49,4,152.83
917,303,43,1,490.76
918,303,27,2,415.66
919,303,7,2,353.2
920,304,39,4,366.42
921,304,71,2,495.62
922,305,61,3,216.99
923,305,51,3,381.28
924,305,37,1,268.64
925,305,25,3,351.22
926,306,42,4,57.69
927,306,91,1,426.41
928,306,21,3,234.19
929,306,62,2,226.52
930,306,27,3,449.64
931,307,2,2,370.31
932,307,74,3,365.72
933,308,55,2,194.51
934,309,61,1,57.06
935,309,16,2,473.08
936,310,20,3,300.76
937,310,16,4,130.05
938,310,39,2,204.36
939,310,49,2,329.87
940,310,84,1,391.09
941,311,57,3,319.84
942,311,15,3,15.69
943,311,83,1,69.81
944,311,74,2,21.28
945,312,96,4,144.13
946,312,24,1,399.23
947,312,83,4,247.25
948,312,17,4,156.2
949,312,92,1,169.36
950,313,90,2,208.61
951,313,69,1,202.96
952,313,75,4,41.33
953,313,27,1,379.22
954,313,77,1,98.53
955,314,41,1,281.81
956,314,74,1,29.18
957,315,33,2,53.03
958,315,16,1,51.46
959,316,70,3,188.14
960,316,85,2,217.3
961,316,6,1,131.69
962,316,57,3,332.99
963,316,89,2,292.77
964,317,66,3,307.02
965,317,85,2,347.09
966,317,25,1,126.18
967,318,28,3,429.48
968,318,28,2,305.05
969,319,94,3,145.92
970,319,33,4,46.44
971,319,21,3,197.07
972,319,33,4,233.47
973,319,19,4,470.7
974,320,94,2,44.57
975,320,90,3,497.73
976,320,73,2,360.08
977,320,20,2,215.65
978,320,56,3,496.3
979,321,32,1,482.37
980,321,69,1,142.36
981,321,53,1,345.15
982,321,12,1,171.39
983,322,19,3,391.25
984,322,13,2,144.09
985,322,29,4,489.95
986,323,16,1,393.54
987,323,40,2,267.97
988,323,45,4,56.81
989,323,78,3,280.26
990,324,97,1,93.67
991,325,95,2,179.13
992,325,17,4,243.66
993,325,66,3,14.65
994,325,19,2,332.21
995,326,93,3,35.9
996,326,32,3,356.68
997,326,24,4,356.33
998,326,60,4,493.26
999,327,55,3,145.15
1000,327,12,2,159.54
1001,327,41,3,209.19
1002,327,10,1,320.99
1003,327,22,2,472.98
1004,328,37,1,51.45
1005,328,2,4,406.09
1006,328,94,4,341.75
1007,328,66,2,245.03
1008,328,79,1,208.68
1009,329,90,1,359.94
1010,329,95,3,129.67
1011,330,22,1,307.61
1012,330,47,2,95.66
1013,330,7,2,261.71
1014,330,22,4,252.8
1015,330,44,3,485.17
1016,331,62,1,152.13
1017,331,1,3,139.73
1018,332,40,4,116.56
1019,332,80,1,468.35
1020,332,1,4,38.17
1021,332,46,4,170.99
1022,332,93,1,12.53
1023,333,13,4,183.72
1024,333,11,4,251.1
1025,334,63,2,211.25
1026,334,85,1,86.26
1027,334,51,3,120.79
1028,334,55,3,156.65
1029,334,35,2,272.85
1030,335,57,4,331.58
1031,336,56,2,183.33
1032,336,91,1,186.03
1033,337,6,1,102.89
1034,337,96,2,203.33
1035,338,26,1,88.55
1036,338,35,4,480.25
1037,338,71,1,216.34
1038,339,98,2,169.19
1039,339,95,4,255.91
1040,339,14,4,74.39
1041,339,45,1,71.8
1042,340,31,1,386.02
1043,340,44,1,342.37
1044,340,95,4,488.45
1045,340,38,1,222.82
1046,340,98,3,248.11
1047,341,94,2,312.63
1048,341,99,2,132.24
1049,341,90,1,433.44
1050,341,55,2,336.5
1051,342,14,4,356.17
1052,342,76,2,102.45
1053,343,52,2,69.03
1054,343,25,1,144.19
1055,344,26,4,18.65
1056,344,49,1,433.53
1057,345,30,3,353.08
1058,345,62,2,174.73
1059,345,83,1,259.83
1060,345,35,1,159.1
1061,346,92,3,472.07
1062,346,7,4,131.01
1063,346,7,2,30.04
1064,347,36,2,149.81
1065,347,33,1,221.14
1066,347,39,4,188.15
1067,348,88,1,337.78
1068,349,95,2,172.29
1069,349,76,3,374.04
1070,349,36,3,126.74
1071,349,12,2,296.32
1072,349,96,1,73.94
1073,350,84,1,30.11
1074,350,58,2,104.53
1075,350,70,1,46.69
1076,350,61,3,157.72
1077,350,20,2,271.44
1078,351,71,2,103.94
1079,352,58,3,448.51
1080,352,9,1,456.32
1081,352,65,4,215.31
1082,353,90,2,303.59
1083,354,73,3,32.27
1084,354,89,1,399.25
1085,355,69,4,252.56
1086,355,97,1,91.1
1087,356,50,4,285.62
1088,356,27,4,307.54
1089,356,74,2,11.76
1090,356,2,2,300.14
1091,356,93,4,256.87
1092,357,29,3,158.67
1093,357,71,3,357.04
1094,357,6,1,93.84
1095,357,82,2,153.0
1096,357,36,2,471.6
1097,358,7,3,437.96
1098,358,27,2,494.87
1099,359,45,1,10.69
1100,359,91,3,169.04
1101,359,53,3,363.82
1102,359,8,3,169.07
1103,359,29,1,413.73
1104,360,3,2,135.43
1105,360,89,1,364.08
1106,360,33,4,473.37
1107,361,29,2,410.26
1108,361,75,3,141.71
1109,361,30,4,86.26
1110,361,62,4,190.63
1111,361,59,1,253.02
1112,362,63,2,102.54
1113,362,3,2,327.31
1114,363,51,2,443.77
1115,363,10,2,44.03
1116,363,83,4,130.17
1117,364,18,1,364.91
1118,364,49,1,305.61
1119,364,2,4,20.15
1120,364,99,1,74.77
1121,365,81,3,79.89
1122,366,2,1,398.28
1123,366,44,1,275.76
1124,366,62,1,109.14
1125,366,40,4,409.58
1126,366,32,3,244.67
1127,367,16,3,317.47
1128,368,38,1,60.38
1129,369,29,4,79.5
1130,370,19,2,219.3
1131,371,88,3,120.68
1132,371,92,4,346.52
1133,371,15,1,250.99
1134,372,37,1,478.67
1135,372,43,3,47.38
1136,373,11,3,462.43
1137,374,68,2,97.25
1138,375,20,2,342.92
1139,375,37,3,316.13
1140,375,35,3,438.95
1141,376,92,3,467.11
1142,376,20,1,396.54
1143,376,50,2,166.93
1144,376,62,4,363.46
1145,377,94,1,293.14
1146,378,17,2,54.32
1147,378,46,2,386.09
1148,378,62,3,252.16
1149,379,84,3,77.73
1150,379,71,2,197.76
