id,cliente_id,data_pedido,status,valor_total
70,292,2026-01-19,concluido,933.96
71,379,2025-08-24,concluido,1155.97
72,321,2025-08-21,concluido,1007.62
73,81,2026-02-27,concluido,850.39
74,81,2025-09-04,concluido,703.23
75,305,2025-07-19,concluido,97.33
76,148,2025-09-24,concluido,1069.33
77,233,2025-06-10,concluido,388.46
78,136,2025-11-09,concluido,956.33
79,339,2025-05-22,concluido,336.84
80,59,2025-11-11,concluido,989.07
81,466,2025-12-24,concluido,256.24
82,31,2025-06-29,concluido,496.04
83,384,2026-02-12,concluido,1385.73
84,225,2025-05-10,concluido,1048.58
85,359,2026-01-06,concluido,444.76
86,277,2025-07-15,concluido,166.64
87,21,2026-02-08,cancelado,1115.07
88,310,2025-07-02,concluido,182.42
89,493,2025-11-03,concluido,1297.75
90,301,2025-09-16,devolvido,1499.38
91,345,2026-02-28,concluido,885.56
92,391,2025-08-27,concluido,732.23
93,334,2025-06-17,concluido,453.33
94,300,2025-05-28,concluido,1230.66
95,497,2026-02-06,concluido,554.54
96,171,2026-01-13,concluido,201.67
97,83,2025-05-30,concluido,1055.83
98,148,2025-10-02,concluido,630.66
99,390,2026-02-08,concluido,709.5
100,162,2025-04-05,concluido,218.09
101,396,2025-06-09,concluido,796.16
102,1,2025-09-12,concluido,836.76
103,212,2025-10-13,concluido,801.74
104,319,2025-05-24,concluido,956.84
105,390,2026-03-14,concluido,437.23
106,68,2026-02-25,cancelado,685.27
107,358,2025-12-02,concluido,91.86
108,323,2025-10-19,concluido,396.98
109,82,2025-10-26,concluido,69.83
110,209,2026-01-06,concluido,1488.77
111,468,2025-08-02,concluido,1423.24
112,332,2026-01-31,concluido,772.64
113,367,2025-10-07,concluido,1072.85
114,213,2025-07-27,concluido,1471.35
115,125,2025-07-08,concluido,259.73
116,98,2025-11-06,cancelado,786.95
117,451,2026-03-01,concluido,151.22
118,396,2025-11-08,concluido,651.67
119,479,2025-04-20,concluido,437.4
120,2,2025-09-03,concluido,482.91
121,301,2025-05-10,concluido,1006.91
122,444,2025-12-26,concluido,830.94
123,177,2025-06-04,concluido,1156.17
124,194,2025-04-25,concluido,516.58
125,97,2025-06-24,devolvido,396.27
126,197,2026-02-12,concluido,1174.54
127,23,2025-07-09,concluido,735.82
128,468,2025-10-04,concluido,609.81
129,340,2026-02-21,concluido,995.43
130,78,2025-12-02,concluido,103.68
131,258,2025-05-09,devolvido,531.39
132,52,2025-09-23,cancelado,688.44
133,270,2026-01-16,cancelado,72.25
134,74,2025-08-09,concluido,999.43
135,80,2025-07-11,concluido,1183.21
136,136,2025-08-20,concluido,1054.42
137,333,2025-08-19,concluido,526.42
138,346,2025-11-05,cancelado,601.01
139,163,2025-11-04,concluido,1336.79
140,250,2026-03-29,cancelado,102.05
141,36,2026-02-10,concluido,1042.38
142,148,2025-07-11,devolvido,1132.81
143,223,2025-08-13,devolvido,1152.54
144,361,2025-04-09,cancelado,693.33
145,356,2025-09-08,concluido,91.97
146,167,2025-05-19,concluido,475.38
147,192,2025-08-16,concluido,404.09
148,211,2026-03-04,concluido,1199.15
149,88,2025-12-21,concluido,933.76
150,196,2025-11-23,concluido,399.2
151,468,2025-06-18,concluido,386.67
152,327,2025-11-12,concluido,420.22
153,5,2025-11-11,cancelado,724.62
154,148,2025-12-10,concluido,279.06
155,227,2025-12-10,cancelado,1482.09
156,154,2025-10-28,concluido,665.25
157,129,2025-06-08,concluido,488.08
158,197,2026-01-30,cancelado,204.65
159,196,2025-07-21,concluido,883.48
160,359,2025-08-17,concluido,1468.02
161,338,2025-08-06,concluido,61.74
162,443,2025-12-19,concluido,1129.77
163,26,2025-10-17,cancelado,1130.5
164,427,2025-10-08,cancelado,464.98
165,410,2026-01-27,concluido,1212.8
166,113,2026-01-13,concluido,950.29
167,348,2025-09-22,concluido,1162.83
168,349,2026-03-13,concluido,960.96
169,463,2025-05-02,concluido,107.16
170,404,2025-08-27,concluido,890.38
171,375,2025-11-26,concluido,1368.96
172,168,2025-07-22,concluido,304.68
173,68,2025-09-29,concluido,1320.87
174,188,2025-12-03,concluido,1374.56
175,426,2025-05-28,concluido,1375.37
176,484,2026-03-05,concluido,1219.41
177,383,2025-06-06,cancelado,1216.14
178,240,2025-12-06,devolvido,254.1
179,495,2026-02-09,concluido,1030.67
180,346,2026-03-28,devolvido,1452.54
181,412,2025-08-11,concluido,180.94
182,203,2025-09-12,concluido,828.03
183,233,2025-12-03,concluido,1136.07
184,135,2025-11-25,concluido,1242.51
185,482,2025-11-10,concluido,1028.51
186,242,2025-09-06,concluido,1332.14
187,288,2026-02-25,concluido,934.62
188,332,2026-03-20,concluido,1244.59
189,466,2025-04-29,concluido,991.4
190,60,2025-05-02,concluido,1422.08
191,156,2025-06-03,devolvido,218.37
192,121,2025-08-13,cancelado,246.71
193,233,2025-06-29,concluido,1426.6
194,357,2025-08-01,cancelado,657.73
195,381,2025-08-03,concluido,1333.85
196,336,2025-12-11,concluido,759.55
197,209,2025-07-24,cancelado,455.62
198,354,2026-01-02,concluido,692.91
199,487,2025-07-14,concluido,575.89
200,352,2025-11-23,concluido,1357.46
201,331,2025-12-08,concluido,627.3
202,98,2025-09-02,devolvido,1426.07
203,422,2025-07-16,concluido,1011.01
204,329,2026-03-12,concluido,1458.09
205,26,2025-09-21,concluido,403.17
206,65,2026-01-30,concluido,347.55
207,425,2026-03-03,concluido,350.38
208,111,2026-04-01,concluido,387.85
209,397,2025-08-21,concluido,1355.77
210,2,2026-01-17,concluido,1476.84
211,67,2025-11-15,concluido,1207.85
212,57,2025-10-21,concluido,87.38
213,8,2025-09-23,concluido,1193.23
214,302,2025-09-09,concluido,302.66
215,27,2025-06-05,concluido,660.39
216,59,2025-06-12,concluido,740.56
217,399,2026-02-27,concluido,910.82
218,232,2025-04-10,concluido,1420.85
219,23,2025-05-20,concluido,1367.69
220,338,2026-01-09,concluido,714.16
221,494,2025-07-02,concluido,1497.95
222,434,2025-12-15,concluido,1044.84
223,252,2025-07-08,concluido,693.17
224,461,2026-04-02,concluido,932.03
225,34,2026-01-15,concluido,955.26
226,300,2025-12-30,concluido,521.52
227,306,2026-01-18,concluido,707.89
228,310,2025-05-03,concluido,1199.99
229,59,2025-06-22,cancelado,993.83
230,394,2025-06-05,concluido,1304.96
231,221,2025-09-03,concluido,381.32
232,174,2025-05-12,concluido,628.16
233,374,2025-05-09,concluido,668.81
234,341,2025-04-26,concluido,1432.71
235,352,2026-03-31,cancelado,147.34
236,426,2026-03-09,concluido,676.22
237,382,2025-10-02,concluido,1227.07
238,285,2025-10-31,concluido,1437.11
239,288,2025-04-22,concluido,227.24
240,182,2025-04-12,cancelado,1414.64
241,217,2026-01-26,cancelado,1095.54
242,496,2025-09-03,concluido,503.05
243,54,2025-10-22,concluido,358.47
244,337,2026-01-24,concluido,1278.55
245,180,2025-05-04,concluido,582.96
246,391,2025-05-12,concluido,377.93
247,220,2025-07-12,concluido,1463.09
248,420,2025-11-28,concluido,1028.72
249,286,2025-06-01,concluido,1397.17
250,425,2025-05-04,concluido,91.98
251,140,2025-12-12,concluido,498.03
252,174,2026-03-29,concluido,313.04
253,74,2026-03-11,concluido,631.14
254,73,2025-08-31,concluido,1459.12
255,47,2025-07-31,concluido,361.94
256,215,2025-06-30,concluido,278.24
257,160,2025-07-07,concluido,1176.41
258,291,2026-01-13,concluido,1330.85
259,80,2025-07-21,concluido,945.87
260,346,2025-09-21,concluido,692.51
261,218,2025-12-01,concluido,690.96
262,140,2025-05-21,concluido,792.9
263,177,2025-05-22,concluido,460.71
264,348,2025-10-23,concluido,814.05
265,158,2026-02-21,concluido,623.13
266,307,2025-06-07,concluido,346.41
267,485,2025-04-13,concluido,248.99
268,131,2025-04-15,concluido,223.98
269,255,2025-12-15,concluido,304.76
270,195,2025-08-18,concluido,383.66
271,287,2026-03-02,concluido,1218.99
272,37,2026-03-23,concluido,1125.96
273,224,2025-08-06,concluido,1385.69
274,442,2026-03-03,concluido,672.46
275,208,2025-10-03,concluido,655.66
276,59,2025-09-30,concluido,1450.99
277,88,2026-03-06,concluido,946.28
278,426,2025-10-28,concluido,574.69
279,224,2026-03-31,concluido,402.81
280,302,2025-07-16,concluido,164.04
281,446,2025-11-01,concluido,542.29
282,171,2025-09-21,concluido,160.75
283,325,2025-05-24,concluido,789.43
284,464,2025-12-28,concluido,559.09
285,491,2025-10-28,concluido,1231.8
286,121,2025-06-09,concluido,421.15
287,89,2025-11-17,concluido,1152.31
288,336,2025-11-20,concluido,1429.37
289,322,2025-09-26,concluido,1143.95
290,390,2025-12-03,concluido,1037.64
291,452,2026-01-17,concluido,971.18
292,320,2025-12-04,concluido,1457.91
293,162,2026-03-08,concluido,149.02
294,227,2025-11-07,concluido,1204.68
295,303,2025-09-17,concluido,785.64
296,159,2025-10-22,concluido,104.53
297,189,2025-12-06,concluido,161.26
298,443,2025-12-06,devolvido,180.93
299,305,2025-10-26,concluido,720.93
300,284,2025-07-31,devolvido,1121.44
301,22,2026-03-20,concluido,1224.23
302,334,2025-08-14,concluido,927.26
303,257,2025-10-06,concluido,139.72
304,53,2025-10-28,concluido,1264.2
305,366,2025-06-29,concluido,986.88
306,21,2026-02-08,concluido,684.75
307,225,2025-05-06,concluido,934.22
308,187,2025-09-20,concluido,460.2
309,210,2025-07-30,concluido,1034.4
310,27,2025-08-22,concluido,988.59
311,34,2025-09-09,concluido,859.05
312,198,2025-07-11,concluido,1099.41
313,337,2025-06-01,devolvido,923.92
314,77,2025-07-28,concluido,894.97
315,73,2025-04-06,cancelado,499.84
316,336,2025-04-02,concluido,618.34
317,305,2025-10-22,concluido,172.84
318,287,2026-02-12,concluido,1197.91
319,417,2026-01-21,concluido,1069.1
320,485,2026-02-25,concluido,1043.85
321,270,2025-05-24,concluido,1022.16
322,261,2025-08-13,concluido,575.77
323,93,2025-07-22,devolvido,545.51
324,393,2025-10-01,concluido,378.49
325,71,2025-10-26,concluido,478.9
326,404,2025-04-05,concluido,1167.77
327,428,2025-12-25,concluido,813.47
328,339,2026-03-26,concluido,1161.15
329,68,2025-10-10,concluido,273.67
330,93,2026-01-20,concluido,1168.09
331,415,2025-10-04,cancelado,1095.72
332,23,2025-07-27,concluido,1030.73
333,122,2025-04-05,devolvido,935.36
334,386,2026-01-24,concluido,700.95
335,274,2025-09-16,concluido,1450.12
336,402,2026-02-05,concluido,1260.91
337,189,2025-07-24,concluido,877.11
338,226,2025-11-19,concluido,458.57
339,196,2025-06-30,concluido,657.06
340,83,2026-02-05,concluido,1211.83
341,71,2025-04-04,cancelado,125.66
342,247,2025-10-31,cancelado,854.08
343,53,2025-08-25,concluido,798.07
344,64,2025-06-14,concluido,1156.52
345,140,2025-09-08,concluido,794.36
346,426,2026-03-10,concluido,1422.3
347,114,2025-11-05,concluido,1332.71
348,477,2025-09-18,concluido,127.22
349,258,2025-09-02,concluido,609.94
350,42,2025-07-08,concluido,90.87
351,477,2025-06-04,concluido,1086.32
352,172,2026-01-04,concluido,249.52
353,147,2026-01-13,cancelado,735.06
354,426,2025-12-08,concluido,1073.03
355,230,2025-08-31,concluido,1363.49
356,10,2026-02-17,concluido,1260.7
357,281,2025-08-26,cancelado,932.88
358,217,2025-06-26,concluido,467.75
359,155,2025-07-13,concluido,395.74
360,328,2025-05-02,concluido,712.81
361,57,2025-09-12,concluido,774.75
362,275,2025-11-30,concluido,797.29
363,124,2025-07-04,concluido,472.34
364,1,2025-10-19,concluido,398.82
365,214,2026-01-23,concluido,1018.91
366,269,2026-02-06,devolvido,148.14
367,270,2026-03-21,concluido,1190.3
368,260,2025-11-26,concluido,616.16
369,241,2026-02-09,concluido,610.98
370,192,2025-12-27,concluido,73.55
371,404,2025-12-23,concluido,399.63
372,337,2025-07-16,concluido,1168.68
373,377,2025-07-21,concluido,243.44
374,181,2025-12-09,concluido,1229.59
375,90,2026-01-15,concluido,1042.79
376,357,2025-10-25,concluido,314.3
377,70,2026-02-10,concluido,1175.48
378,235,2025-07-15,concluido,342.31
379,406,2025-09-09,concluido,110.76
380,478,2025-06-14,concluido,627.42
381,418,2026-02-27,concluido,417.3
382,386,2025-04-28,concluido,464.86
383,442,2025-06-11,concluido,1305.41
384,170,2025-05-25,concluido,1209.05
385,224,2025-07-23,cancelado,1127.8
386,459,2025-05-14,devolvido,541.6
387,96,2025-12-05,concluido,771.41
388,474,2025-09-25,concluido,436.75
389,43,2025-11-27,concluido,164.44
390,309,2025-09-24,devolvido,311.66
391,151,2025-07-16,concluido,166.1
392,339,2025-12-30,concluido,696.58
393,368,2025-11-29,concluido,1050.16
394,180,2025-10-10,concluido,1103.88
395,467,2025-06-13,concluido,1497.32
396,141,2025-08-04,concluido,1197.64
397,30,2025-04-09,concluido,974.39
398,187,2025-05-31,concluido,1137.35
399,82,2025-04-21,devolvido,257.03
400,312,2025-10-26,concluido,685.35
401,65,2025-04-10,concluido,1178.85
402,188,2025-06-13,concluido,1426.73
403,17,2025-05-11,concluido,1034.64
404,486,2025-07-20,concluido,693.71
405,40,2025-07-15,concluido,817.72
406,204,2025-05-20,concluido,454.1
407,492,2026-01-04,concluido,1116.73
408,256,2025-09-19,concluido,1374.64
409,61,2026-01-09,concluido,427.42
410,229,2025-04-05,concluido,937.22
411,356,2025-07-01,cancelado,762.24
412,63,2025-05-07,concluido,157.38
413,89,2025-05-30,cancelado,695.41
414,45,2025-04-07,concluido,1452.96
415,164,2025-10-10,concluido,1078.83
416,282,2025-06-25,concluido,1342.43
417,436,2025-08-12,concluido,1078.87
418,359,2025-09-12,concluido,1200.86
419,261,2025-08-01,concluido,1478.44
420,406,2026-02-01,concluido,1196.04
421,14,2026-02-06,concluido,879.8
422,240,2025-10-12,concluido,849.89
423,314,2025-08-24,cancelado,145.33
424,204,2025-09-29,devolvido,1092.36
425,270,2025-12-28,concluido,643.68
426,295,2026-02-03,concluido,1459.95
427,329,2025-04-14,concluido,725.46
428,265,2025-08-08,concluido,1323.04
429,400,2025-05-03,concluido,902.29
430,394,2026-02-23,devolvido,677.3
431,467,2026-01-18,cancelado,1255.52
432,266,2025-05-28,concluido,288.75
433,166,2025-04-23,cancelado,376.93
434,486,2025-07-14,cancelado,1347.64
435,434,2026-01-28,concluido,334.64
436,490,2025-09-01,concluido,231.5
437,156,2025-04-29,concluido,185.47
438,329,2025-10-29,concluido,1415.33
439,79,2025-10-01,concluido,955.49
440,462,2025-06-11,concluido,1271.67
441,289,2025-06-15,concluido,1302.48
442,42,2026-03-15,concluido,980.11
443,296,2026-02-22,concluido,355.67
444,293,2025-07-08,concluido,976.54
445,255,2026-02-13,cancelado,841.09
446,329,2025-08-28,devolvido,750.27
447,413,2026-02-17,concluido,638.83
448,233,2025-04-06,concluido,136.87
449,226,2025-05-19,concluido,723.44
450,175,2026-01-25,concluido,503.24
451,368,2026-01-04,concluido,1482.63
452,177,2025-07-07,devolvido,239.61
453,190,2025-08-29,concluido,203.97
454,124,2026-01-26,concluido,437.83
455,127,2025-09-21,concluido,123.38
456,485,2025-07-06,concluido,942.3
457,128,2026-01-13,devolvido,1358.35
458,417,2025-04-15,concluido,887.65
459,161,2025-06-18,concluido,281.05
460,264,2025-09-27,concluido,1324.66
461,255,2026-01-12,concluido,1420.59
462,259,2026-01-26,concluido,399.06
463,299,2025-05-08,concluido,123.28
464,254,2025-10-21,concluido,1272.13
465,345,2025-12-16,concluido,828.2
466,434,2025-06-21,concluido,244.21
467,136,2025-10-02,concluido,1157.59
468,188,2025-08-31,concluido,124.18
469,288,2025-12-22,concluido,852.17
470,38,2025-08-01,concluido,703.01
471,282,2026-03-31,concluido,1484.18
472,349,2025-08-05,concluido,236.56
473,50,2025-06-02,concluido,1202.6
474,174,2025-12-02,concluido,580.13
475,74,2026-01-09,concluido,788.23
476,257,2025-04-18,concluido,106.43
477,366,2026-01-16,concluido,736.93
478,234,2026-04-01,concluido,1345.04
479,72,2025-11-01,concluido,938.95
480,84,2025-10-21,concluido,943.93
481,432,2025-05-19,concluido,537.74
482,425,2025-07-09,concluido,760.28
483,289,2025-10-05,concluido,1232.84
484,189,2025-12-05,concluido,208.93
485,214,2025-07-27,concluido,1205.29
486,372,2025-06-18,cancelado,962.43
487,306,2025-08-19,concluido,1452.25
488,401,2026-03-12,devolvido,888.79
489,117,2025-04-22,concluido,896.11
490,88,2026-03-03,concluido,1095.72
491,397,2025-12-16,concluido,264.27
492,349,2025-06-25,concluido,880.23
493,359,2025-05-15,concluido,77.46
494,161,2025-07-02,concluido,648.79
495,105,2025-12-03,concluido,1173.71
496,472,2025-09-17,concluido,1280.15
497,373,2025-08-06,concluido,250.22
498,107,2025-04-07,concluido,1497.28
499,245,2025-06-05,concluido,504.94
500,89,2026-02-04,concluido,823.03
501,280,2025-07-18,concluido,1169.39
502,370,2025-11-15,concluido,1215.3
503,136,2025-05-18,concluido,328.78
504,127,2025-09-02,concluido,482.82
505,483,2026-02-02,devolvido,481.54
506,148,2025-07-05,concluido,1050.85
507,251,2025-04-05,concluido,555.76
508,479,2025-04-18,cancelado,1096.41
509,148,2025-11-13,concluido,1031.1
510,195,2026-01-31,cancelado,622.07
511,177,2025-12-26,devolvido,1216.69
512,149,2025-10-03,concluido,1435.2
513,41,2025-12-25,concluido,691.45
514,132,2025-11-19,concluido,360.28
515,424,2025-06-01,concluido,1402.88
516,357,2025-08-24,concluido,208.38
517,380,2026-01-26,concluido,401.56
518,343,2025-05-06,cancelado,377.22
519,120,2025-07-07,concluido,649.29
520,368,2025-06-02,concluido,1037.73
521,71,2025-10-13,concluido,848.01
522,476,2025-05-07,concluido,996.69
523,451,2025-12-24,cancelado,742.3
524,103,2025-11-28,concluido,466.51
525,147,2025-08-11,concluido,1366.51
526,46,2026-03-29,concluido,386.72
527,379,2026-01-21,concluido,1408.17
528,468,2025-11-30,cancelado,655.93
529,429,2025-04-25,concluido,1383.47
530,429,2025-04-25,concluido,768.31
531,480,2025-08-18,concluido,1314.82
532,149,2025-12-08,cancelado,63.44
533,291,2025-05-31,concluido,1396.26
534,172,2025-12-30,concluido,1484.19
535,279,2025-10-27,concluido,1339.43
536,69,2026-02-03,cancelado,728.63
537,99,2025-05-13,concluido,529.49
538,375,2025-05-20,concluido,423.03
539,96,2025-10-08,concluido,538.81
540,152,2025-07-01,concluido,1148.06
541,90,2025-08-03,concluido,976.15
542,208,2025-11-04,concluido,797.16
543,45,2026-02-02,concluido,188.31
544,72,2025-12-08,concluido,1406.95
545,4,2026-01-20,concluido,391.51
546,386,2025-08-14,concluido,527.96
547,299,2026-02-08,concluido,66.58
548,335,2026-03-14,concluido,392.64
549,342,2025-09-19,concluido,494.87
550,208,2026-01-11,concluido,1388.5
551,455,2025-06-15,concluido,500.92
552,61,2025-04-10,concluido,1413.92
553,189,2025-12-25,concluido,367.74
554,69,2025-08-26,concluido,709.72
555,311,2025-08-19,concluido,1067.81
556,468,2026-01-08,concluido,829.4
557,341,2025-05-24,concluido,1154.7
558,349,2025-07-08,concluido,1316.05
559,42,2026-03-17,concluido,815.85
560,186,2025-04-17,concluido,868.04
561,32,2025-10-07,concluido,1359.19
562,104,2026-01-01,concluido,267.29
563,168,2025-09-18,cancelado,690.67
564,349,2025-11-05,concluido,895.56
565,47,2025-07-25,cancelado,695.95
566,29,2025-10-29,concluido,794.21
567,234,2025-12-28,concluido,860.26
568,345,2025-10-09,concluido,1098.76
569,203,2025-06-14,concluido,54.37
570,112,2025-11-08,concluido,115.67
571,177,2025-06-13,concluido,834.69
572,31,2025-10-30,cancelado,150.08
573,479,2025-08-15,concluido,466.28
574,93,2025-08-05,concluido,1160.45
575,374,2026-01-11,concluido,659.52
576,457,2025-09-30,concluido,1310.95
577,465,2025-07-17,concluido,166.36
578,494,2026-03-04,concluido,831.99
579,335,2026-02-18,cancelado,222.02
580,276,2025-11-20,concluido,234.65
581,115,2026-03-23,concluido,1146.46
582,153,2026-03-02,concluido,1092.69
583,218,2025-11-03,concluido,1243.87
584,127,2025-06-03,concluido,274.93
585,97,2025-04-28,cancelado,1101.28
586,58,2025-10-25,concluido,1007.29
587,315,2025-06-01,concluido,1331.45
588,9,2025-09-23,concluido,147.57
589,305,2025-07-25,concluido,916.79
590,361,2026-02-14,cancelado,404.86
591,23,2025-07-13,concluido,389.79
592,112,2025-10-29,concluido,1175.29
593,72,2025-08-22,concluido,469.43
594,418,2025-09-25,cancelado,885.36
595,296,2025-04-02,concluido,1025.17
596,165,2026-01-28,concluido,1320.57
597,339,2025-12-05,concluido,649.66
598,141,2025-10-15,concluido,1425.35
599,451,2025-08-27,concluido,303.94
600,348,2026-01-11,concluido,768.65
601,498,2025-06-13,concluido,982.81
602,196,2026-03-10,concluido,512.16
603,214,2025-04-09,concluido,484.84
604,95,2025-11-28,concluido,736.6
605,435,2026-02-28,concluido,1293.43
606,74,2025-08-21,concluido,1376.37
607,288,2026-01-28,concluido,653.94
608,272,2025-11-28,concluido,402.14
609,105,2025-07-03,concluido,164.65
610,231,2025-08-04,concluido,184.07
611,371,2026-01-07,concluido,124.73
612,194,2025-04-26,concluido,924.24
613,448,2025-12-13,concluido,1216.74
614,301,2025-10-28,concluido,860.33
615,246,2026-02-14,concluido,1365.2
616,156,2025-08-30,devolvido,72.23
617,480,2025-06-14,concluido,1125.14
618,383,2025-10-22,devolvido,744.44
619,125,2025-12-23,concluido,1070.46
620,204,2025-10-12,cancelado,850.51
621,398,2026-01-24,concluido,726.06
622,333,2025-11-02,concluido,429.26
623,263,2025-05-31,cancelado,725.71
624,412,2025-11-26,devolvido,730.76
625,430,2025-07-20,concluido,344.53
626,161,2025-08-05,concluido,865.66
627,114,2025-09-08,concluido,73.52
628,284,2025-12-06,cancelado,889.76
629,214,2025-08-05,concluido,334.48
630,118,2025-05-14,concluido,1258.38
631,256,2025-05-09,concluido,1418.02
632,173,2025-10-22,concluido,1241.31
633,495,2025-12-13,concluido,1122.41
634,236,2025-04-27,concluido,1202.71
635,87,2025-04-19,concluido,842.49
636,95,2026-02-20,cancelado,836.1
637,329,2026-04-01,devolvido,809.72
638,430,2025-05-22,concluido,1420.52
639,343,2025-06-10,concluido,59.26
640,71,2026-03-07,concluido,385.58
641,363,2025-04-14,concluido,367.14
642,234,2025-06-19,concluido,945.86
643,342,2025-05-13,cancelado,1373.49
644,338,2025-10-07,concluido,59.59
645,283,2025-06-15,concluido,74.25
646,370,2025-05-10,concluido,1467.35
647,9,2025-04-14,concluido,1061.9
648,221,2025-11-09,concluido,1369.17
649,55,2025-12-07,cancelado,810.36
650,124,2026-02-20,concluido,813.36
651,418,2025-08-30,concluido,1202.66
652,41,2025-12-13,concluido,638.74
653,290,2025-10-09,concluido,1060.99
654,154,2025-10-23,concluido,1279.41
655,335,2025-11-30,devolvido,992.35
656,17,2025-12-30,concluido,599.93
657,283,2025-11-17,concluido,973.28
658,360,2025-07-10,concluido,774.79
659,223,2025-04-21,concluido,530.34
660,440,2025-08-22,devolvido,1347.45
661,471,2025-06-26,concluido,356.55
662,445,2025-11-23,concluido,871.84
663,139,2026-01-05,concluido,157.8
664,474,2025-04-29,concluido,837.39
665,337,2025-04-07,concluido,1396.71
666,162,2026-03-29,concluido,350.38
667,74,2026-03-25,concluido,1083.43
668,204,2025-06-22,cancelado,483.95
669,289,2025-12-12,concluido,1260.24
670,200,2025-10-09,concluido,833.82
671,197,2026-03-28,concluido,252.93
672,353,2026-03-13,concluido,776.15
673,499,2026-02-19,concluido,191.64
674,119,2025-05-03,concluido,543.86
675,394,2025-09-30,concluido,913.63
676,497,2026-02-07,concluido,92.96
677,140,2025-12-06,concluido,703.3
678,117,2025-04-25,concluido,1414.66
679,222,2025-08-20,concluido,899.52
680,195,2025-11-04,concluido,946.99
681,409,2026-01-15,concluido,156.58
682,138,2026-04-01,concluido,1081.93
683,325,2026-03-13,concluido,614.95
684,185,2025-09-10,concluido,57.53
685,158,2026-02-15,concluido,1153.95
686,53,2025-08-23,concluido,321.72
687,230,2026-02-04,concluido,793.04
688,53,2026-01-02,concluido,563.18
689,48,2025-04-24,concluido,1187.44
690,443,2026-02-15,concluido,473.18
691,199,2025-11-27,concluido,1101.02
692,287,2025-07-14,cancelado,1468.35
693,293,2025-10-24,concluido,1043.71
694,87,2025-04-17,concluido,486.64
695,253,2026-01-12,concluido,292.45
696,142,2025-04-29,concluido,752.14
697,40,2026-02-20,concluido,1419.12
698,370,2025-07-29,concluido,911.02
699,101,2025-05-02,concluido,246.46
700,4,2025-06-24,cancelado,531.71
701,318,2025-10-20,concluido,1300.19
702,226,2025-05-09,concluido,1232.44
703,441,2025-05-11,concluido,911.87
704,154,2026-01-08,concluido,1423.55
705,103,2025-06-30,concluido,307.57
706,204,2025-10-25,devolvido,472.6
707,356,2025-08-29,concluido,1453.26
708,401,2025-06-14,concluido,595.28
709,419,2025-06-16,concluido,579.27
710,478,2025-10-23,concluido,908.73
711,280,2025-12-13,concluido,1163.05
712,14,2025-07-07,devolvido,719.35
713,363,2025-11-09,concluido,1206.64
714,426,2025-11-30,concluido,1237.5
715,408,2025-06-10,concluido,1025.82
